ID;M(R);M(G);M(B);DP(R);DP(G);DP(B)
227;69;83;26;2.3558545524691357;2.4534625771604937;1.4977816358024691
228;65;75;31;2.2229938271604937;2.2588252314814814;1.6748649691358024
229;77;88;47;1.9040316358024691;1.7934992283950617;1.5613908179012346
230;122;126;73;3.0185185185185186;3.160011574074074;1.789014274691358
231;83;108;52;2.2427662037037037;2.5035686728395063;1.8679591049382716
232;43;48;42;1.2276716820987654;1.0383873456790123;1.298418209876543
233;42;42;44;0.8681520061728395;0.6711033950617284;0.98046875
234;90;78;82;1.6410590277777777;1.4958526234567902;1.6232156635802468
235;79;75;85;1.6373456790123457;1.3484760802469136;1.2730034722222223
236;114;100;104;2.6456886574074074;2.3287037037037037;2.138937114197531
237;97;87;94;2.335841049382716;2.1453993055555554;2.0344328703703702
238;42;39;46;0.6828221450617284;0.5856481481481481;0.7652874228395061
239;47;45;58;0.6949749228395061;0.6653163580246914;0.6917438271604939
240;47;47;62;0.5958236882716049;0.5610050154320988;0.7016782407407407
241;29;54;17;1.5571469907407407;1.8355034722222223;1.1360918209876543
242;23;45;21;1.2728105709876543;1.3618344907407407;1.2826967592592593
243;22;42;17;1.2269965277777777;1.3055555555555556;1.1824845679012346
244;35;49;18;1.5114293981481481;1.5080536265432098;1.2668788580246915
245;33;45;17;1.4542341820987654;1.3526234567901234;1.2282503858024691
246;39;53;18;1.6197916666666667;1.5051601080246915;1.331934799382716
247;56;62;30;1.8216628086419753;1.7137827932098766;1.4742959104938271
248;89;76;47;2.494309413580247;2.3971354166666665;2.0732060185185186
249;109;91;68;2.5788001543209877;2.338059413580247;2.1215277777777777
250;147;140;94;3.1475694444444446;3.2411747685185186;2.345920138888889
251;124;144;33;2.2700135030864197;2.3401813271604937;1.6618923611111112
252;73;82;33;1.8323688271604939;1.5850694444444444;1.2120949074074074
253;68;90;36;1.9871238425925926;2.248456790123457;1.2452739197530864
254;74;99;44;2.2690972222222223;2.5553144290123457;1.5885898919753085
255;47;61;46;1.7322048611111112;1.5191454475308641;1.9722222222222223
256;82;80;91;2.1920814043209877;1.9060088734567902;2.084346064814815
257;72;69;83;1.861738040123457;1.751543209876543;1.857445987654321
258;33;32;39;0.9057195216049383;0.7965374228395061;0.7990451388888888
259;50;48;58;0.9696180555555556;0.9468557098765432;1.0478395061728396
260;54;53;66;0.8627507716049383;0.8002507716049383;0.6996045524691358
261;35;56;19;1.5927372685185186;1.6125096450617284;1.3684413580246915
262;33;46;15;1.443238811728395;1.3166956018518519;1.1598186728395061
263;20;39;15;1.239824459876543;1.2314332561728396;1.1850887345679013
264;34;42;15;1.5999710648148149;1.4581886574074074;1.1098090277777777
265;50;55;20;1.947337962962963;1.880449459876543;1.3817515432098766
266;109;91;49;3.0768711419753085;2.6026234567901234;2.09350887345679
267;106;86;54;3.03515625;2.5242091049382718;2.173707561728395
268;122;95;77;3.4856288580246915;3.0579185956790123;2.695167824074074
269;145;114;99;4.078703703703703;3.6567804783950617;3.115692515432099
270;158;135;105;3.568383487654321;3.577980324074074;2.8133680555555554
271;92;106;41;2.2454185956790123;2.554542824074074;1.5979456018518519
272;126;117;56;2.5747010030864197;2.3255690586419755;1.9811439043209877
273;171;164;74;3.0344328703703702;2.775462962962963;2.6608796296296298
274;97;113;31;2.2971643518518516;2.113377700617284;1.6567804783950617
275;113;139;35;2.802903163580247;2.6441936728395063;1.7237654320987654
276;65;97;40;2.2177372685185186;2.381365740740741;1.6691743827160495
